Id;product_1;product_2;product_3;product_4;product_5;product_6;product_7;product_8;product_9;product_10;product_11;product_12;product_13;product_14;product_15;product_16;product_17;product_18;product_19;product_20
5253;herb & pepper;ground beef;honey;french fries;;;;;;;;;;;;;;;;
5254;green grapes;cooking oil;french fries;green tea;;;;;;;;;;;;;;;;
5255;french fries;;;;;;;;;;;;;;;;;;;
5256;grated cheese;chocolate;french fries;escalope;;;;;;;;;;;;;;;;
5257;eggs;chocolate;shampoo;green tea;;;;;;;;;;;;;;;;
5258;pancakes;hot dogs;sparkling water;fresh bread;;;;;;;;;;;;;;;;
5259;mineral water;oatmeal;eggplant;brownies;;;;;;;;;;;;;;;;
5260;light mayo;;;;;;;;;;;;;;;;;;;
5261;grated cheese;spaghetti;soup;olive oil;whole wheat rice;oil;chicken;ketchup;hot dogs;;;;;;;;;;;
5262;turkey;ham;tomatoes;muffins;whole wheat rice;carrots;oatmeal;eggplant;pasta;brownies;low fat yogurt;;;;;;;;;
5263;fresh tuna;butter;;;;;;;;;;;;;;;;;;
5264;hot dogs;;;;;;;;;;;;;;;;;;;
5265;mineral water;body spray;;;;;;;;;;;;;;;;;;
5266;cookies;;;;;;;;;;;;;;;;;;;
5267;low fat yogurt;;;;;;;;;;;;;;;;;;;
5268;french wine;eggs;chicken;light mayo;;;;;;;;;;;;;;;;
5269;frozen vegetables;ground beef;mineral water;chocolate;pancakes;;;;;;;;;;;;;;;
5270;milk;cooking oil;frozen smoothie;green tea;;;;;;;;;;;;;;;;
5271;frozen vegetables;mineral water;fromage blanc;whole wheat rice;light cream;chicken;chocolate bread;antioxydant juice;;;;;;;;;;;;
5272;mineral water;milk;;;;;;;;;;;;;;;;;;
5273;muffins;cookies;;;;;;;;;;;;;;;;;;
5274;escalope;;;;;;;;;;;;;;;;;;;
5275;shrimp;low fat yogurt;;;;;;;;;;;;;;;;;;
5276;red wine;shrimp;mineral water;chocolate;milk;cereals;tomato juice;green tea;;;;;;;;;;;;
5277;nonfat milk;chicken;body spray;gluten free bar;light mayo;honey;;;;;;;;;;;;;;
5278;salmon;;;;;;;;;;;;;;;;;;;
5279;frozen vegetables;mineral water;french fries;mushroom cream sauce;;;;;;;;;;;;;;;;
5280;shrimp;pepper;milk;almonds;eggs;escalope;green tea;;;;;;;;;;;;;
5281;burgers;spaghetti;soup;milk;black tea;whole wheat rice;frozen smoothie;strawberries;;;;;;;;;;;;
5282;olive oil;salmon;tomato juice;;;;;;;;;;;;;;;;;
5283;burgers;yams;mineral water;avocado;energy bar;salmon;pancakes;whole wheat rice;cake;cooking oil;barbecue sauce;green tea;french fries;escalope;;;;;;
5284;milk;energy bar;vegetables mix;cottage cheese;;;;;;;;;;;;;;;;
5285;cake;french fries;;;;;;;;;;;;;;;;;;
5286;grated cheese;honey;fresh bread;;;;;;;;;;;;;;;;;
5287;soup;clothes accessories;escalope;;;;;;;;;;;;;;;;;
5288;burgers;eggs;french fries;;;;;;;;;;;;;;;;;
5289;burgers;eggs;frozen smoothie;;;;;;;;;;;;;;;;;
5290;whole wheat pasta;cake;melons;green tea;;;;;;;;;;;;;;;;
5291;ground beef;tomato sauce;spaghetti;light mayo;melons;green tea;;;;;;;;;;;;;;
5292;eggs;;;;;;;;;;;;;;;;;;;
5293;pancakes;french fries;body spray;;;;;;;;;;;;;;;;;
5294;soup;eggs;cottage cheese;;;;;;;;;;;;;;;;;
5295;tomato juice;;;;;;;;;;;;;;;;;;;
5296;cider;eggs;eggplant;;;;;;;;;;;;;;;;;
5297;whole wheat pasta;milk;champagne;cookies;pasta;body spray;;;;;;;;;;;;;;
5298;green tea;french fries;;;;;;;;;;;;;;;;;;
5299;spaghetti;mineral water;eggs;;;;;;;;;;;;;;;;;
5300;turkey;spaghetti;mineral water;green tea;tomato juice;;;;;;;;;;;;;;;
5301;burgers;shrimp;mineral water;cake;chocolate;french fries;escalope;cookies;;;;;;;;;;;;
5302;muffins;;;;;;;;;;;;;;;;;;;
5303;turkey;black tea;eggs;cookies;;;;;;;;;;;;;;;;
5304;avocado;frozen smoothie;cottage cheese;brownies;;;;;;;;;;;;;;;;
5305;fresh tuna;;;;;;;;;;;;;;;;;;;
5306;gums;cottage cheese;brownies;protein bar;low fat yogurt;green tea;;;;;;;;;;;;;;
5307;mineral water;olive oil;;;;;;;;;;;;;;;;;;
5308;ground beef;milk;cereals;green tea;magazines;;;;;;;;;;;;;;;
5309;herb & pepper;eggs;cookies;fresh bread;;;;;;;;;;;;;;;;
5310;shrimp;tomatoes;honey;whole wheat rice;cake;brownies;;;;;;;;;;;;;;
5311;shrimp;;;;;;;;;;;;;;;;;;;
5312;chocolate;;;;;;;;;;;;;;;;;;;
5313;grated cheese;spaghetti;mineral water;milk;nonfat milk;eggs;blueberries;light cream;chicken;chocolate;french fries;;;;;;;;;
5314;turkey;mineral water;barbecue sauce;strawberries;;;;;;;;;;;;;;;;
5315;whole wheat pasta;ground beef;mineral water;;;;;;;;;;;;;;;;;
5316;escalope;pasta;;;;;;;;;;;;;;;;;;
5317;fresh tuna;milk;magazines;;;;;;;;;;;;;;;;;
5318;mineral water;cooking oil;;;;;;;;;;;;;;;;;;
5319;green tea;;;;;;;;;;;;;;;;;;;
5320;chocolate;herb & pepper;frozen vegetables;whole wheat pasta;salmon;soda;white wine;;;;;;;;;;;;;
5321;turkey;eggs;pancakes;;;;;;;;;;;;;;;;;
5322;herb & pepper;chocolate;;;;;;;;;;;;;;;;;;
5323;cookies;;;;;;;;;;;;;;;;;;;
5324;eggs;;;;;;;;;;;;;;;;;;;
5325;mineral water;french fries;;;;;;;;;;;;;;;;;;
5326;tomatoes;mineral water;;;;;;;;;;;;;;;;;;
5327;french fries;;;;;;;;;;;;;;;;;;;
5328;escalope;;;;;;;;;;;;;;;;;;;
5329;turkey;eggs;french fries;energy drink;;;;;;;;;;;;;;;;
5330;burgers;;;;;;;;;;;;;;;;;;;
5331;spaghetti;;;;;;;;;;;;;;;;;;;
5332;french fries;melons;;;;;;;;;;;;;;;;;;
5333;pepper;mineral water;pancakes;chicken;tomato juice;;;;;;;;;;;;;;;
5334;ground beef;spaghetti;milk;fromage blanc;carrots;low fat yogurt;;;;;;;;;;;;;;
5335;spaghetti;;;;;;;;;;;;;;;;;;;
5336;strawberries;yogurt cake;;;;;;;;;;;;;;;;;;
5337;frozen smoothie;;;;;;;;;;;;;;;;;;;
5338;grated cheese;whole wheat pasta;pepper;;;;;;;;;;;;;;;;;
5339;avocado;cider;cake;french fries;melons;;;;;;;;;;;;;;;
5340;light cream;chicken;;;;;;;;;;;;;;;;;;
5341;frozen vegetables;tomatoes;mineral water;;;;;;;;;;;;;;;;;
5342;tomatoes;whole wheat pasta;milk;;;;;;;;;;;;;;;;;
5343;milk;cooking oil;;;;;;;;;;;;;;;;;;
5344;muffins;;;;;;;;;;;;;;;;;;;
5345;cake;;;;;;;;;;;;;;;;;;;
5346;mineral water;cereals;;;;;;;;;;;;;;;;;;
5347;shrimp;yams;milk;champagne;cottage cheese;;;;;;;;;;;;;;;
5348;pepper;olive oil;green tea;frozen smoothie;zucchini;;;;;;;;;;;;;;;
5349;whole wheat pasta;chocolate;pancakes;french fries;mushroom cream sauce;;;;;;;;;;;;;;;
5350;frozen vegetables;;;;;;;;;;;;;;;;;;;
5351;chocolate;champagne;;;;;;;;;;;;;;;;;;
5352;mineral water;cooking oil;;;;;;;;;;;;;;;;;;
5353;butter;;;;;;;;;;;;;;;;;;;
5354;grated cheese;mineral water;honey;cake;whole weat flour;salad;;;;;;;;;;;;;;
5355;cake;french fries;;;;;;;;;;;;;;;;;;
5356;spaghetti;mineral water;french wine;cottage cheese;tomato juice;;;;;;;;;;;;;;;
5357;vegetables mix;french fries;;;;;;;;;;;;;;;;;;
5358;ground beef;mineral water;soup;;;;;;;;;;;;;;;;;
5359;french fries;;;;;;;;;;;;;;;;;;;
5360;chocolate;ground beef;tomato sauce;spaghetti;cookies;shallot;green tea;;;;;;;;;;;;;
5361;avocado;vegetables mix;french fries;melons;;;;;;;;;;;;;;;;
5362;burgers;energy drink;;;;;;;;;;;;;;;;;;
5363;spaghetti;mineral water;milk;energy bar;french wine;frozen smoothie;;;;;;;;;;;;;;
5364;french fries;frozen smoothie;;;;;;;;;;;;;;;;;;
5365;herb & pepper;cereals;low fat yogurt;;;;;;;;;;;;;;;;;
5366;whole wheat pasta;yams;milk;eggs;champagne;;;;;;;;;;;;;;;
5367;fresh tuna;mineral water;eggs;chocolate;champagne;;;;;;;;;;;;;;;
5368;shrimp;olive oil;;;;;;;;;;;;;;;;;;
5369;whole wheat pasta;olive oil;pancakes;;;;;;;;;;;;;;;;;
5370;ham;chocolate;spaghetti;mineral water;;;;;;;;;;;;;;;;
5371;green tea;french fries;cookies;;;;;;;;;;;;;;;;;
5372;cottage cheese;;;;;;;;;;;;;;;;;;;
5373;mineral water;energy bar;whole wheat rice;cake;yogurt cake;;;;;;;;;;;;;;;
5374;ground beef;mineral water;milk;whole wheat rice;cake;yogurt cake;light mayo;;;;;;;;;;;;;
5375;grated cheese;ground beef;rice;sandwich;tomato juice;low fat yogurt;green tea;honey;;;;;;;;;;;;
5376;milk;pancakes;;;;;;;;;;;;;;;;;;
5377;french fries;;;;;;;;;;;;;;;;;;;
5378;turkey;burgers;whole wheat rice;eggplant;chocolate;cookies;toothpaste;;;;;;;;;;;;;
5379;candy bars;;;;;;;;;;;;;;;;;;;
5380;frozen vegetables;avocado;black tea;whole wheat rice;green tea;;;;;;;;;;;;;;;
5381;chocolate;milk;chicken;strong cheese;cooking oil;green beans;french fries;light mayo;tomato juice;white wine;;;;;;;;;;
5382;french fries;escalope;green tea;;;;;;;;;;;;;;;;;
5383;burgers;mineral water;cookies;;;;;;;;;;;;;;;;;
5384;shrimp;ground beef;spaghetti;muffins;;;;;;;;;;;;;;;;
5385;cake;;;;;;;;;;;;;;;;;;;
5386;french wine;rice;green beans;eggplant;french fries;;;;;;;;;;;;;;;
5387;soup;light cream;cookies;;;;;;;;;;;;;;;;;
5388;whole wheat pasta;olive oil;green tea;chocolate;french fries;champagne;hot dogs;tomato juice;;;;;;;;;;;;
5389;cereals;cookies;yogurt cake;tomato juice;fresh bread;green tea;;;;;;;;;;;;;;
5390;chocolate;;;;;;;;;;;;;;;;;;;
5391;french fries;zucchini;;;;;;;;;;;;;;;;;;
5392;frozen smoothie;tomato juice;fresh bread;;;;;;;;;;;;;;;;;
5393;whole wheat rice;;;;;;;;;;;;;;;;;;;
5394;shrimp;ground beef;mineral water;soup;;;;;;;;;;;;;;;;
5395;olive oil;salmon;low fat yogurt;;;;;;;;;;;;;;;;;
5396;milk;almonds;vegetables mix;;;;;;;;;;;;;;;;;
5397;chocolate;spaghetti;;;;;;;;;;;;;;;;;;
5398;candy bars;;;;;;;;;;;;;;;;;;;
5399;burgers;shrimp;frozen vegetables;tomatoes;parmesan cheese;chocolate;french fries;escalope;body spray;;;;;;;;;;;
5400;frozen vegetables;barbecue sauce;chocolate bread;;;;;;;;;;;;;;;;;
5401;mineral water;cooking oil;french fries;fresh bread;candy bars;;;;;;;;;;;;;;;
5402;chocolate;soup;;;;;;;;;;;;;;;;;;
5403;shrimp;frozen vegetables;tomatoes;butter;nonfat milk;french fries;frozen smoothie;tomato juice;fresh bread;;;;;;;;;;;
5404;grated cheese;;;;;;;;;;;;;;;;;;;
5405;nonfat milk;;;;;;;;;;;;;;;;;;;
5406;herb & pepper;;;;;;;;;;;;;;;;;;;
5407;spaghetti;butter;green beans;chocolate;body spray;green tea;;;;;;;;;;;;;;
5408;energy bar;;;;;;;;;;;;;;;;;;;
5409;grated cheese;;;;;;;;;;;;;;;;;;;
5410;light mayo;candy bars;;;;;;;;;;;;;;;;;;
5411;mineral water;;;;;;;;;;;;;;;;;;;
5412;spaghetti;salmon;pancakes;french fries;cookies;pasta;green tea;;;;;;;;;;;;;
5413;green tea;;;;;;;;;;;;;;;;;;;
5414;french fries;protein bar;;;;;;;;;;;;;;;;;;
5415;frozen vegetables;milk;french fries;low fat yogurt;green tea;;;;;;;;;;;;;;;
5416;fresh tuna;ground beef;pepper;tomato sauce;chicken;soda;mint;;;;;;;;;;;;;
5417;burgers;champagne;cookies;brownies;green tea;;;;;;;;;;;;;;;
5418;white wine;;;;;;;;;;;;;;;;;;;
5419;spaghetti;eggs;champagne;;;;;;;;;;;;;;;;;
5420;gums;escalope;pasta;light mayo;;;;;;;;;;;;;;;;
5421;burgers;frozen vegetables;ground beef;spaghetti;soup;milk;almonds;chicken;strong cheese;salmon;pancakes;chocolate;;;;;;;;
5422;shrimp;eggs;energy drink;;;;;;;;;;;;;;;;;
5423;escalope;;;;;;;;;;;;;;;;;;;
5424;french fries;champagne;light mayo;;;;;;;;;;;;;;;;;
5425;cake;cottage cheese;brownies;fresh bread;;;;;;;;;;;;;;;;
5426;escalope;;;;;;;;;;;;;;;;;;;
5427;yogurt cake;;;;;;;;;;;;;;;;;;;
5428;french fries;frozen smoothie;;;;;;;;;;;;;;;;;;
5429;champagne;;;;;;;;;;;;;;;;;;;
5430;melons;;;;;;;;;;;;;;;;;;;
5431;milk;energy drink;;;;;;;;;;;;;;;;;;
5432;turkey;frozen vegetables;mineral water;chicken;eggs;antioxydant juice;chocolate;fresh bread;white wine;green tea;;;;;;;;;;
5433;turkey;pepper;carrots;;;;;;;;;;;;;;;;;
5434;yams;;;;;;;;;;;;;;;;;;;
5435;ground beef;milk;olive oil;energy bar;french wine;chicken;french fries;champagne;frozen smoothie;shallot;yogurt cake;green tea;;;;;;;;
5436;cake;;;;;;;;;;;;;;;;;;;
5437;turkey;yams;black tea;french fries;;;;;;;;;;;;;;;;
5438;mineral water;chocolate;whole wheat rice;cake;whole weat flour;french fries;low fat yogurt;;;;;;;;;;;;;
5439;shrimp;frozen vegetables;;;;;;;;;;;;;;;;;;
5440;herb & pepper;mineral water;honey;;;;;;;;;;;;;;;;;
5441;turkey;burgers;ground beef;spaghetti;milk;butter;honey;cottage cheese;pancakes;energy drink;light mayo;;;;;;;;;
5442;avocado;escalope;light mayo;;;;;;;;;;;;;;;;;
5443;avocado;cake;cookies;;;;;;;;;;;;;;;;;
5444;spaghetti;mineral water;milk;chocolate;shallot;;;;;;;;;;;;;;;
5445;energy bar;cereals;salt;fresh bread;green tea;;;;;;;;;;;;;;;
5446;turkey;shrimp;parmesan cheese;eggs;cake;frozen smoothie;pancakes;light mayo;green tea;;;;;;;;;;;
5447;shrimp;parmesan cheese;olive oil;light cream;cooking oil;chicken;chili;extra dark chocolate;cottage cheese;brownies;pancakes;energy drink;salt;salad;magazines;;;;;
5448;cake;body spray;;;;;;;;;;;;;;;;;;
5449;milk;chocolate;energy drink;;;;;;;;;;;;;;;;;
5450;mineral water;whole wheat rice;french fries;;;;;;;;;;;;;;;;;
5451;burgers;grated cheese;shrimp;chocolate;french fries;champagne;cookies;mushroom cream sauce;;;;;;;;;;;;
5452;tomatoes;spaghetti;vegetables mix;;;;;;;;;;;;;;;;;
5453;burgers;honey;;;;;;;;;;;;;;;;;;
5454;chocolate;;;;;;;;;;;;;;;;;;;
5455;pickles;;;;;;;;;;;;;;;;;;;
5456;spaghetti;;;;;;;;;;;;;;;;;;;
5457;pancakes;;;;;;;;;;;;;;;;;;;
5458;french fries;;;;;;;;;;;;;;;;;;;
5459;chocolate;shrimp;frozen vegetables;tomatoes;mineral water;honey;;;;;;;;;;;;;;
5460;french fries;energy drink;;;;;;;;;;;;;;;;;;
5461;mineral water;gums;soda;french fries;cookies;;;;;;;;;;;;;;;
5462;eggs;;;;;;;;;;;;;;;;;;;
5463;cookies;;;;;;;;;;;;;;;;;;;
5464;escalope;;;;;;;;;;;;;;;;;;;
5465;shrimp;mineral water;milk;pancakes;strawberries;;;;;;;;;;;;;;;
5466;fresh bread;;;;;;;;;;;;;;;;;;;
5467;herb & pepper;frozen vegetables;mineral water;energy bar;salmon;;;;;;;;;;;;;;;
5468;cookies;;;;;;;;;;;;;;;;;;;
5469;fresh tuna;ground beef;mineral water;chocolate;olive oil;french wine;eggs;;;;;;;;;;;;;
5470;turkey;ham;grated cheese;herb & pepper;whole wheat pasta;spaghetti;mineral water;pancakes;pet food;green tea;;;;;;;;;;
5471;milk;black tea;eggs;energy drink;;;;;;;;;;;;;;;;
5472;turkey;herb & pepper;ground beef;mineral water;;;;;;;;;;;;;;;;
5473;mineral water;;;;;;;;;;;;;;;;;;;
5474;milk;chicken;extra dark chocolate;frozen smoothie;low fat yogurt;;;;;;;;;;;;;;;
5475;chocolate;spaghetti;mineral water;salmon;eggs;cake;;;;;;;;;;;;;;
5476;mineral water;pancakes;chocolate;french fries;green tea;;;;;;;;;;;;;;;
5477;burgers;grated cheese;spaghetti;mineral water;green tea;;;;;;;;;;;;;;;
5478;shrimp;whole wheat pasta;spaghetti;mineral water;avocado;olive oil;chicken;chocolate;;;;;;;;;;;;
5479;frozen vegetables;spaghetti;milk;;;;;;;;;;;;;;;;;
5480;eggs;;;;;;;;;;;;;;;;;;;
5481;butter;tomato juice;fresh bread;magazines;;;;;;;;;;;;;;;;
5482;light mayo;;;;;;;;;;;;;;;;;;;
5483;tomatoes;chocolate;champagne;low fat yogurt;;;;;;;;;;;;;;;;
5484;mineral water;milk;barbecue sauce;chocolate;low fat yogurt;;;;;;;;;;;;;;;
5485;burgers;ham;whole wheat rice;chocolate;french fries;cookies;green tea;;;;;;;;;;;;;
5486;shrimp;spaghetti;eggplant;chocolate;;;;;;;;;;;;;;;;
5487;eggs;;;;;;;;;;;;;;;;;;;
5488;mineral water;milk;green tea;;;;;;;;;;;;;;;;;
5489;olive oil;eggs;;;;;;;;;;;;;;;;;;
5490;shrimp;frozen vegetables;honey;frozen smoothie;fresh bread;green tea;;;;;;;;;;;;;;
5491;meatballs;bug spray;burger sauce;cereals;;;;;;;;;;;;;;;;
5492;turkey;herb & pepper;spaghetti;mineral water;pancakes;eggs;;;;;;;;;;;;;;
5493;turkey;meatballs;eggs;green tea;;;;;;;;;;;;;;;;
5494;chocolate;french fries;;;;;;;;;;;;;;;;;;
5495;grated cheese;tomato juice;;;;;;;;;;;;;;;;;;
5496;muffins;whole wheat rice;chocolate;french fries;;;;;;;;;;;;;;;;
5497;fresh tuna;spaghetti;vegetables mix;rice;carrots;french fries;champagne;light mayo;;;;;;;;;;;;
5498;meatballs;olive oil;clothes accessories;green tea;french fries;low fat yogurt;;;;;;;;;;;;;;
5499;turkey;;;;;;;;;;;;;;;;;;;
5500;grated cheese;whole wheat rice;chocolate;french fries;;;;;;;;;;;;;;;;
5501;burgers;grated cheese;frozen vegetables;spaghetti;milk;salmon;eggs;chocolate;;;;;;;;;;;;
5502;mineral water;;;;;;;;;;;;;;;;;;;
5503;spaghetti;eggs;;;;;;;;;;;;;;;;;;
5504;burgers;spaghetti;eggs;cookies;green tea;;;;;;;;;;;;;;;
5505;eggs;chocolate;cookies;low fat yogurt;;;;;;;;;;;;;;;;
5506;milk;;;;;;;;;;;;;;;;;;;
5507;ground beef;yams;cake;;;;;;;;;;;;;;;;;
5508;eggs;french fries;;;;;;;;;;;;;;;;;;
5509;tomato sauce;yams;;;;;;;;;;;;;;;;;;
5510;spaghetti;mineral water;cake;brownies;energy drink;green tea;;;;;;;;;;;;;;
5511;tomatoes;mineral water;soup;milk;olive oil;eggs;oil;cooking oil;barbecue sauce;toothpaste;low fat yogurt;;;;;;;;;
5512;grated cheese;ground beef;spaghetti;;;;;;;;;;;;;;;;;
5513;french fries;;;;;;;;;;;;;;;;;;;
5514;spaghetti;;;;;;;;;;;;;;;;;;;
5515;mashed potato;;;;;;;;;;;;;;;;;;;
5516;green tea;;;;;;;;;;;;;;;;;;;
5517;spaghetti;mineral water;;;;;;;;;;;;;;;;;;
5518;herb & pepper;shrimp;rice;clothes accessories;french fries;frozen smoothie;white wine;green tea;;;;;;;;;;;;
5519;ground beef;;;;;;;;;;;;;;;;;;;
5520;turkey;;;;;;;;;;;;;;;;;;;
5521;turkey;spaghetti;mineral water;soup;nonfat milk;pancakes;cooking oil;tea;escalope;cookies;;;;;;;;;;
5522;muffins;green grapes;;;;;;;;;;;;;;;;;;
5523;cake;french fries;;;;;;;;;;;;;;;;;;
5524;chocolate;;;;;;;;;;;;;;;;;;;
5525;extra dark chocolate;french fries;green tea;;;;;;;;;;;;;;;;;
5526;whole wheat pasta;spaghetti;;;;;;;;;;;;;;;;;;
5527;antioxydant juice;;;;;;;;;;;;;;;;;;;
5528;champagne;;;;;;;;;;;;;;;;;;;
5529;burgers;herb & pepper;tomatoes;mineral water;chicken;honey;whole wheat rice;melons;tomato juice;;;;;;;;;;;
5530;olive oil;chutney;yogurt cake;;;;;;;;;;;;;;;;;
5531;pancakes;;;;;;;;;;;;;;;;;;;
5532;grated cheese;ground beef;energy bar;honey;chicken;;;;;;;;;;;;;;;
5533;eggs;;;;;;;;;;;;;;;;;;;
5534;turkey;mineral water;milk;salmon;eggs;protein bar;;;;;;;;;;;;;;
5535;hot dogs;low fat yogurt;candy bars;;;;;;;;;;;;;;;;;
5536;candy bars;;;;;;;;;;;;;;;;;;;
5537;candy bars;;;;;;;;;;;;;;;;;;;
5538;french fries;cookies;;;;;;;;;;;;;;;;;;
5539;escalope;cookies;;;;;;;;;;;;;;;;;;
5540;vegetables mix;french fries;;;;;;;;;;;;;;;;;;
5541;shrimp;avocado;melons;;;;;;;;;;;;;;;;;
5542;pancakes;whole wheat rice;frozen smoothie;brownies;;;;;;;;;;;;;;;;
5543;frozen vegetables;milk;chocolate;french fries;energy drink;;;;;;;;;;;;;;;
5544;melons;;;;;;;;;;;;;;;;;;;
5545;parmesan cheese;mineral water;muffins;chocolate;pancakes;;;;;;;;;;;;;;;
5546;green tea;;;;;;;;;;;;;;;;;;;
5547;gums;;;;;;;;;;;;;;;;;;;
5548;frozen vegetables;meatballs;pancakes;eggs;chocolate;french fries;frozen smoothie;;;;;;;;;;;;;
5549;melons;;;;;;;;;;;;;;;;;;;
5550;hot dogs;energy drink;fresh bread;low fat yogurt;;;;;;;;;;;;;;;;
5551;shrimp;energy drink;;;;;;;;;;;;;;;;;;
5552;eggs;cookies;green tea;honey;;;;;;;;;;;;;;;;
5553;muffins;french fries;;;;;;;;;;;;;;;;;;
5554;burgers;eggs;;;;;;;;;;;;;;;;;;
5555;milk;french fries;;;;;;;;;;;;;;;;;;
5556;cake;french fries;energy drink;;;;;;;;;;;;;;;;;
5557;red wine;spaghetti;eggs;mint green tea;tomato juice;;;;;;;;;;;;;;;
5558;pepper;spaghetti;strong cheese;chocolate;green tea;;;;;;;;;;;;;;;
5559;olive oil;salmon;;;;;;;;;;;;;;;;;;
5560;low fat yogurt;;;;;;;;;;;;;;;;;;;
5561;spaghetti;blueberries;chocolate;escalope;;;;;;;;;;;;;;;;
5562;dessert wine;mineral water;milk;spinach;pancakes;eggs;champagne;;;;;;;;;;;;;
5563;eggs;rice;escalope;;;;;;;;;;;;;;;;;
5564;cookies;green tea;;;;;;;;;;;;;;;;;;
5565;escalope;low fat yogurt;;;;;;;;;;;;;;;;;;
5566;vegetables mix;;;;;;;;;;;;;;;;;;;
5567;mint;green tea;;;;;;;;;;;;;;;;;;
5568;grated cheese;frozen vegetables;brownies;low fat yogurt;;;;;;;;;;;;;;;;
5569;whole wheat pasta;hot dogs;;;;;;;;;;;;;;;;;;
5570;burgers;herb & pepper;ground beef;spaghetti;soup;cereals;french fries;brownies;;;;;;;;;;;;
5571;honey;gums;french fries;;;;;;;;;;;;;;;;;
5572;green tea;;;;;;;;;;;;;;;;;;;
5573;chicken;eggs;french fries;strawberries;;;;;;;;;;;;;;;;
5574;whole wheat pasta;french fries;;;;;;;;;;;;;;;;;;
5575;frozen vegetables;;;;;;;;;;;;;;;;;;;
5576;vegetables mix;;;;;;;;;;;;;;;;;;;
5577;muffins;cauliflower;;;;;;;;;;;;;;;;;;
5578;turkey;eggs;pancakes;;;;;;;;;;;;;;;;;
5579;eggs;;;;;;;;;;;;;;;;;;;
5580;frozen smoothie;pancakes;;;;;;;;;;;;;;;;;;
5581;energy bar;chicken;eggs;;;;;;;;;;;;;;;;;
5582;whole wheat pasta;mineral water;olive oil;energy bar;frozen smoothie;low fat yogurt;;;;;;;;;;;;;;
5583;frozen smoothie;;;;;;;;;;;;;;;;;;;
5584;burgers;french fries;escalope;pasta;mushroom cream sauce;;;;;;;;;;;;;;;
5585;frozen vegetables;french fries;;;;;;;;;;;;;;;;;;
5586;french fries;;;;;;;;;;;;;;;;;;;
5587;pickles;chicken;chocolate;energy drink;green tea;;;;;;;;;;;;;;;
5588;bug spray;;;;;;;;;;;;;;;;;;;
5589;whole wheat pasta;milk;energy bar;butter;pancakes;eggs;barbecue sauce;;;;;;;;;;;;;
5590;bramble;;;;;;;;;;;;;;;;;;;
5591;fresh tuna;eggs;escalope;;;;;;;;;;;;;;;;;
5592;yogurt cake;low fat yogurt;;;;;;;;;;;;;;;;;;
5593;mineral water;olive oil;mint;;;;;;;;;;;;;;;;;
5594;cake;;;;;;;;;;;;;;;;;;;
5595;parmesan cheese;whole wheat pasta;antioxydant juice;mint;;;;;;;;;;;;;;;;
5596;mint;;;;;;;;;;;;;;;;;;;
5597;spaghetti;mineral water;soup;;;;;;;;;;;;;;;;;
5598;ground beef;spaghetti;;;;;;;;;;;;;;;;;;
5599;french fries;;;;;;;;;;;;;;;;;;;
5600;escalope;;;;;;;;;;;;;;;;;;;
5601;eggs;champagne;;;;;;;;;;;;;;;;;;
5602;parmesan cheese;whole wheat pasta;ground beef;spaghetti;yams;soup;milk;whole wheat rice;cake;;;;;;;;;;;
5603;frozen vegetables;avocado;butter;chicken;salmon;whole wheat rice;champagne;;;;;;;;;;;;;
5604;shrimp;green tea;;;;;;;;;;;;;;;;;;
5605;chocolate;mineral water;;;;;;;;;;;;;;;;;;
5606;shrimp;frozen vegetables;ground beef;spaghetti;mineral water;strong cheese;green beans;;;;;;;;;;;;;
5607;asparagus;;;;;;;;;;;;;;;;;;;
5608;cookies;;;;;;;;;;;;;;;;;;;
5609;champagne;;;;;;;;;;;;;;;;;;;
5610;protein bar;fresh bread;;;;;;;;;;;;;;;;;;
5611;yogurt cake;;;;;;;;;;;;;;;;;;;
5612;tomatoes;mineral water;salmon;fresh bread;toothpaste;;;;;;;;;;;;;;;
5613;grated cheese;chutney;eggs;;;;;;;;;;;;;;;;;
5614;grated cheese;tomato sauce;mineral water;milk;olive oil;salmon;oil;shallot;;;;;;;;;;;;
5615;cereals;antioxydant juice;hot dogs;green tea;;;;;;;;;;;;;;;;
5616;frozen vegetables;;;;;;;;;;;;;;;;;;;
5617;sandwich;;;;;;;;;;;;;;;;;;;
5618;spaghetti;avocado;cookies;strawberries;zucchini;honey;;;;;;;;;;;;;;
5619;salt;;;;;;;;;;;;;;;;;;;
5620;frozen vegetables;milk;eggs;brownies;;;;;;;;;;;;;;;;
5621;grated cheese;chocolate;french fries;tomato juice;;;;;;;;;;;;;;;;
5622;grated cheese;herb & pepper;parmesan cheese;spaghetti;extra dark chocolate;french fries;;;;;;;;;;;;;;
5623;turkey;herb & pepper;parmesan cheese;ground beef;eggs;french fries;cottage cheese;;;;;;;;;;;;;
5624;eggs;chocolate;escalope;;;;;;;;;;;;;;;;;
5625;milk;cottage cheese;;;;;;;;;;;;;;;;;;
5626;yams;french fries;fresh bread;;;;;;;;;;;;;;;;;
5627;burgers;whole wheat pasta;yams;;;;;;;;;;;;;;;;;
5628;frozen vegetables;spaghetti;mineral water;avocado;honey;chocolate;champagne;body spray;;;;;;;;;;;;
5629;chicken;eggs;;;;;;;;;;;;;;;;;;
5630;soup;eggs;;;;;;;;;;;;;;;;;;
5631;mineral water;energy bar;;;;;;;;;;;;;;;;;;
5632;mineral water;;;;;;;;;;;;;;;;;;;
